paper_key,year,workflow_group,title,evidence_object_coded,promoted_edge_motivated,coding_basis,notes
koza_gp,1994,symbolic_regression,"Genetic Programming II: Automatic Discovery of Reusable Programs",final_expression,symbolic_status_to_expression_quality,"reports evolved programs/expressions as discovered solutions","book-level SR pattern; included as historical workflow pattern"
schmidt_lipson_science,2009,symbolic_regression,"Distilling Free-Form Natural Laws from Experimental Data",final_expression,symbolic_status_to_expression_quality,"reports recovered natural-law equations","coded from paper title/abstract/contribution framing"
mcconaghy_ffx,2011,symbolic_regression,"FFX: Fast, Scalable, Deterministic Symbolic Regression Technology",final_expression,symbolic_status_to_expression_quality,"reports fast symbolic models and prediction/simplicity","coded from method description"
sahoo_eql,2018,neural_symbolic,"Learning Equations for Extrapolation and Control",final_expression,symbolic_status_to_expression_quality,"foregrounds learned equations and extrapolation","coded from title/method framing"
petersen_dsr,2021,neural_symbolic,"Deep Symbolic Regression: Recovering Mathematical Expressions from Data via Risk-Seeking Policy Gradients",final_expression,symbolic_status_to_expression_quality,"foregrounds recovered mathematical expressions","coded from title/abstract framing"
landajuela_unified_dsr,2022,neural_symbolic,"A Unified Framework for Deep Symbolic Regression",final_expression,symbolic_status_to_expression_quality,"foregrounds expression-search framework","coded from title/method framing"
cranmer_pysr,2023,symbolic_regression,"Interpretable Machine Learning for Science with PySR and SymbolicRegression.jl",final_expression,symbolic_status_to_expression_quality,"foregrounds symbolic expressions for scientific interpretation","coded from title/abstract framing"
kamienny_nsr,2022,neural_symbolic,"End-to-End Symbolic Regression with Transformers",final_expression,symbolic_status_to_expression_quality,"foregrounds predicted symbolic equations","coded from method framing"
biggio_nsr_scales,2021,neural_symbolic,"Neural Symbolic Regression that Scales",final_expression,symbolic_status_to_expression_quality,"foregrounds scalable neural prediction of equations","coded from title/abstract framing"
jin_bsr,2020,symbolic_regression,"Bayesian Symbolic Regression",final_expression,symbolic_status_to_expression_quality,"foregrounds symbolic regression posterior/model expressions","coded from title/method framing"
udrescu_aifeynman,2020,symbolic_regression,"AI Feynman: A Physics-Inspired Method for Symbolic Regression",final_expression,symbolic_status_to_expression_quality,"foregrounds symbolic equation discovery","coded from title/abstract framing"
cranmer_discovering_symbolic,2020,symbolic_regression,"Discovering Symbolic Models from Deep Learning with Inductive Biases",final_expression,symbolic_status_to_expression_quality,"foregrounds symbolic models discovered from neural systems","coded from title/method framing"
lacava_srbench,2021,symbolic_regression_benchmark,"Contemporary Symbolic Regression Methods and their Relative Performance",final_expression,symbolic_status_to_expression_quality,"benchmarks SR by predictive/expression performance","coded from benchmark framing"
brunton_sindy,2016,sparse_discovery,"Discovering Governing Equations from Data by Sparse Identification of Nonlinear Dynamical Systems",selected_terms,support_to_prediction,"foregrounds sparse active terms in governing equations","coded from title/method framing"
kaiser_sindyc,2018,sparse_discovery,"Sparse Identification of Nonlinear Dynamics with Control (SINDYc)",selected_terms,support_to_prediction,"foregrounds sparse terms with control inputs","coded from method framing"
kaiser_sindympc,2018,sparse_discovery,"Sparse Identification of Nonlinear Dynamics for Model Predictive Control in the Low-Data Limit",selected_terms,support_to_prediction,"foregrounds sparse discovered model used for control","coded from title/abstract framing"
kaheman_sindypi,2020,sparse_discovery,"SINDy-PI: A Robust Algorithm for Parallel Implicit Sparse Identification of Nonlinear Dynamics",selected_terms,support_to_prediction,"foregrounds sparse implicit term selection","coded from title/method framing"
fasel_ensemble_sindy,2022,sparse_discovery,"Ensemble-SINDy: Robust Sparse Model Discovery in the Low-Data, High-Noise Limit",selected_terms,support_to_prediction,"foregrounds sparse model terms under uncertainty","coded from title/method framing"
champion_autoencoder_sindy,2019,sparse_discovery,"Data-Driven Discovery of Coordinates and Governing Equations",selected_terms,support_to_prediction,"foregrounds discovered coordinates and sparse equations","coded from title/method framing"
tibshirani_lasso,1996,feature_selection,"Regression Shrinkage and Selection via the Lasso",selected_support,support_to_prediction,"foregrounds selected variables via shrinkage","coded from title/method framing"
zou_adaptive_lasso,2006,feature_selection,"The Adaptive Lasso and Its Oracle Properties",selected_support,support_to_prediction,"foregrounds support/variable selection","coded from method framing"
meinshausen_stability,2010,feature_selection,"Stability Selection",selected_support,support_to_prediction,"foregrounds stable selected variables","coded from title/method framing"
candes_dantzig,2007,feature_selection,"The Dantzig Selector: Statistical Estimation When p Is Much Larger than n",selected_support,support_to_prediction,"foregrounds high-dimensional sparse selected variables","coded from method framing"
lemhadri_lassonet,2021,feature_selection,"LassoNet: A Neural Network with Feature Sparsity",selected_support,support_to_prediction,"foregrounds feature sparsity/selection","coded from title/method framing"
friedman_mars,1991,interaction_modeling,"Multivariate Adaptive Regression Splines",component_terms,prediction_to_pair,"foregrounds spline basis components/interactions","coded from method framing"
friedman_hstat,2008,interaction_modeling,"Predictive Learning via Rule Ensembles",component_terms,candidate_to_pair,"foregrounds rule/interaction components","coded from method framing"
sobol_sensitivity,1993,interaction_sensitivity,"Sensitivity Estimates for Nonlinear Mathematical Models",sensitivity_indices,prediction_to_pair,"foregrounds sensitivity indices/components","coded from title/method framing"
hooker_fanova,2007,interaction_sensitivity,"Generalized Functional ANOVA Diagnostics for High-Dimensional Functions of Dependent Variables",pair_component_score,prediction_to_pair,"foregrounds functional ANOVA components","coded from title/method framing"
lou_ga2m,2013,interpretable_interactions,"Accurate Intelligible Models with Pairwise Interactions",pair_component_score,prediction_to_pair,"foregrounds pairwise interaction components","coded from title/method framing"
caruana_healthcare_ga2m,2015,interpretable_interactions,"Intelligible Models for HealthCare: Predicting Pneumonia Risk and Hospital 30-day Readmission",readout_or_component,prediction_to_pair,"foregrounds interpretable model components in reporting","coded from title/method framing"
tsang_nid,2018,interaction_detection,"Detecting Statistical Interactions from Neural Network Weights",pair_score,candidate_to_pair,"foregrounds detected interactions from weights","coded from title/method framing"
nori_interpretml,2019,interpretability_toolkit,"InterpretML: A Unified Framework for Machine Learning Interpretability",readout_or_explanation,prediction_to_pair,"foregrounds explanation/readout objects","coded from toolkit framing"
goldstein_ice,2015,interpretability,"Peeking Inside the Black Box: Visualizing Statistical Learning with Plots of Individual Conditional Expectation",readout_or_explanation,prediction_to_pair,"foregrounds visualization of predictor effects","coded from title/method framing"
apley_ale,2020,interpretability,"Visualizing the Effects of Predictor Variables in Black Box Supervised Learning Models",readout_or_explanation,prediction_to_pair,"foregrounds effect visualization","coded from title/method framing"
lundberg_shap,2017,explanation,"A Unified Approach to Interpreting Model Predictions",explanation_object,prediction_to_pair,"foregrounds explanation object for predictions","coded from title/method framing"
adebayo_sanity,2018,explanation_audit,"Sanity Checks for Saliency Maps",explanation_object,prediction_to_pair,"foregrounds explanation-object sanity rather than formula structure","coded from title/method framing"
liu_kan,2024,kan_workflow,"KAN: Kolmogorov-Arnold Networks",readout_or_symbolic_workflow,fitted_pair_to_readout,"foregrounds interpretable KAN structure/readouts","coded from KAN workflow framing"
liu_kan2,2024,kan_workflow,"KAN 2.0: Kolmogorov-Arnold Networks Meet Science",readout_or_symbolic_workflow,fitted_pair_to_readout,"foregrounds pyKAN symbolic/science workflow objects","coded from KAN 2.0 feature framing"
